12Z 03 08 2017, 2.46, 18.47
00Z 04 08 2017, 8.03, 24.55
12Z 04 08 2017, 55.99, 17.23
00Z 05 08 2017, 229.10, 18.92
12Z 05 08 2017, 80.39, 16.71
00Z 06 08 2017, 5.09, 20.19
12Z 06 08 2017, 25.67, 27.12
00Z 07 08 2017, 30.04, 18.57
12Z 07 08 2017, 27.33, 16.39
00Z 08 08 2017, 65.28, 14.54
12Z 08 08 2017, 174.10, 21.62
00Z 09 08 2017, 0.04, 14.33
12Z 09 08 2017, 15.21, 12.84
00Z 10 08 2017, 0.00, 14.22
12Z 10 08 2017, 6.34, 18.60
00Z 11 08 2017, 5.62, 35.04
12Z 11 08 2017, 0.78, 31.30
00Z 12 08 2017, 12.54, 15.37
12Z 12 08 2017, 37.10, 16.95
00Z 13 08 2017, 0.00, 14.39
12Z 13 08 2017, 5.33, 26.06
00Z 14 08 2017, 16.13, 30.23
12Z 14 08 2017, 0.00, 18.29
00Z 15 08 2017, 12.87, 20.43
12Z 15 08 2017, 7.69, 15.67
00Z 16 08 2017, 51.95, 31.73
12Z 16 08 2017, 45.55, 23.53
00Z 17 08 2017, 20.44, 17.41
12Z 17 08 2017, 38.50, 19.67
00Z 18 08 2017, 228.26, 16.58
12Z 18 08 2017, 67.75, 21.08
00Z 19 08 2017, 55.79, 15.57
12Z 19 08 2017, 19.32, 14.52
00Z 20 08 2017, 0.00, 33.29
12Z 20 08 2017, 0.00, 37.09
00Z 21 08 2017, 21.88, 42.55
12Z 21 08 2017, 0.00, 31.51
00Z 22 08 2017, 0.00, 19.58
12Z 22 08 2017, 0.00, 23.18
00Z 23 08 2017, 51.72, 22.56
12Z 23 08 2017, 157.46, 22.87
00Z 24 08 2017, 55.13, 21.47
12Z 24 08 2017, 19.69, 27.43
00Z 25 08 2017, 21.72, 21.80
12Z 25 08 2017, 3.39, 25.51
00Z 26 08 2017, 0.00, 21.38
12Z 26 08 2017, 4.73, 27.04
00Z 27 08 2017, 4.63, 27.83
12Z 27 08 2017, 36.68, 27.14
00Z 28 08 2017, 0.04, 24.77
12Z 28 08 2017, 0.00, 40.64
00Z 29 08 2017, 12.64, 14.62
12Z 29 08 2017, 36.80, 18.45
00Z 30 08 2017, 16.77, 14.45
12Z 30 08 2017, 40.95, 17.13
00Z 31 08 2017, 60.99, 19.91
12Z 31 08 2017, 65.54, 17.30
00Z 01 09 2017, 0.00, 15.45
12Z 01 09 2017, 4.15, 14.39
00Z 02 09 2017, 0.50, 10.78
12Z 02 09 2017, 0.00, 40.59
00Z 03 09 2017, 0.00, 40.57
12Z 03 09 2017, 0.00, 31.14
00Z 04 09 2017, 0.00, 28.96
12Z 04 09 2017, 0.00, 26.22
00Z 05 09 2017, 0.00, 31.49
